0 11 6 7
0 9 4 15
0 7 4 9
0 9 3 12
1 8 5 21
1 8 4 14
1 8 5 11
1 9 4 10
2 7 3 12
2 7 2 8
2 7 2 22
2 7 2 26
3 7 4 8
3 7 2 18
3 6 2 12
3 7 2 9
4 7 1 15
4 7 2 10
4 7 1 14
4 7 1 9
5 7 3 7
5 7 0 8
5 6 0 7
5 7 0 12
6 7 1 9
6 6 0 20
6 7 0 13
6 6 1 7
7 0 0 1
7 0 0 1
7 0 0 1
7 0 0 1
8 0 0 1
8 0 0 1
8 0 0 1
8 0 0 1
9 0 0 1
9 0 0 1
9 0 0 1
9 0 0 1
10 0 0 1
10 0 0 1
10 0 0 1
10 0 0 1
11 14 8 5
11 14 8 6
11 14 9 8
11 14 8 12
12 14 11 6
12 14 8 6
12 14 8 12
12 14 8 6
13 14 8 8
13 14 8 8
13 14 8 10
13 14 8 9
14 16 9 12
14 16 9 6
14 16 8 10
14 16 8 8
15 16 9 6
15 16 8 10
15 16 8 7
15 16 8 8
16 16 9 8
16 16 9 12
16 16 8 13
16 16 8 9
17 16 10 5
17 16 8 8
17 16 8 8
17 16 8 15
18 16 9 5
18 16 8 7
18 16 8 11
18 16 9 8
19 16 9 9
19 16 8 8
19 16 8 7
19 16 8 7
20 16 9 9
20 16 8 8
20 16 8 10
20 16 8 9
21 16 9 6
21 14 8 8
21 14 8 12
21 16 8 5
22 16 9 6
22 16 8 10
22 16 9 11
22 16 8 9
23 16 9 8
23 16 8 8
23 16 9 6
23 16 8 7
24 14 9 9
24 14 8 6
24 14 8 6
24 14 8 6
25 14 9 5
25 14 8 10
25 14 8 7
25 14 8 10
26 14 8 7
26 14 8 11
26 14 10 4
26 14 7 9
27 14 10 4
27 14 8 9
27 14 8 5
27 14 9 6
28 14 9 7
28 14 8 6
28 14 7 8
28 14 8 9
29 14 10 6
29 14 8 6
29 14 9 5
29 14 8 10
30 14 10 4
30 14 8 10
30 14 7 5
30 14 8 6
31 16 9 12
31 16 9 9
31 16 8 9
31 16 8 10
32 16 10 5
32 16 8 7
32 16 8 8
32 16 9 7
33 16 9 13
33 16 9 6
33 16 8 8
33 16 8 12
34 13 9 9
34 13 8 9
34 13 9 7
34 13 8 7
35 11 9 5
35 11 8 7
35 12 9 6
35 11 8 11
36 11 9 7
36 11 8 11
36 11 8 10
36 11 10 5
37 11 9 3
37 11 8 7
37 11 8 17
37 11 8 7
38 11 9 6
38 11 8 4
38 11 8 13
38 11 8 3
39 11 8 8
39 11 8 8
39 11 8 12
39 11 8 4
40 11 8 6
40 11 8 8
40 11 10 9
40 11 8 3
41 11 9 4
41 11 7 7
41 11 8 7
41 11 8 4
42 11 9 6
42 11 8 6
42 11 8 4
42 11 8 9
43 11 9 7
43 11 10 4
43 11 8 4
43 11 9 8
44 16 10 8
44 16 8 7
44 16 8 8
0 11 6 15
0 7 3 10
0 9 5 13
0 9 4 11
1 8 4 12
1 8 4 9
1 8 5 13
1 8 5 10
2 7 6 4
2 7 1 14
2 7 2 10
2 7 2 9
3 7 3 14
3 7 1 8
3 6 0 9
3 7 3 5
4 0 0 1
4 0 0 1
4 0 0 1
4 0 0 1
5 0 0 1
5 0 0 1
5 0 0 1
5 0 0 1
6 0 0 1
6 0 0 1
6 0 0 1
6 12 5 5
7 15 9 4
7 14 8 9
7 15 9 5
7 14 8 20
8 15 9 4
8 14 9 6
8 15 8 10
8 14 8 6
9 15 9 5
9 14 8 7
9 15 8 8
9 14 8 7
10 15 9 4
10 14 9 4
10 15 8 6
10 14 8 10
11 15 9 10
11 14 10 6
11 14 8 6
11 14 9 8
12 15 11 5
12 14 9 4
12 14 8 11
12 14 8 7
13 16 9 9
13 16 8 15
13 16 8 6
13 16 9 8
14 16 10 8
14 16 7 9
14 16 8 11
14 16 10 9
15 16 12 7
15 16 8 12
15 16 8 6
15 16 8 9
16 16 9 11
16 16 8 9
16 16 12 6
16 16 11 6
17 16 9 12
17 16 8 12
17 16 9 7
17 16 7 12
18 16 9 6
18 16 8 6
18 16 8 8
18 16 9 7
19 16 10 9
19 16 8 7
19 16 8 10
19 16 7 7
20 16 9 7
20 16 8 7
20 16 10 5
20 16 8 8
21 13 9 10
21 13 8 8
21 13 8 8
21 13 9 4
22 13 9 4
22 13 8 6
22 13 8 7
22 13 8 10
23 13 9 7
23 13 8 8
23 13 8 8
23 13 9 4
